Team,Player,Pos,Apps,Min,G,NPG,A,Sh90,KP90,xG,xG Change,NPxG,NPxG Change,xA,xA Change,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90 + xA90,NPxG90 + xA90,xGChain90,xGBuildup90,Yellow Flag,Red Flag
Tottenham,Son Heung-Min,F M,21,1764,9,9,7,3.27,1.53,7.87,-1.13,7.11,-1.89,5.19,-1.81,14.96,5.20,0.40,0.36,0.26,0.67,0.63,0.76,0.27,0,2
Tottenham,Dele Alli,F M,20,1596,7,7,3,1.92,1.18,6.10,-0.90,6.10,-0.90,3.40,+0.40,14.64,5.94,0.34,0.34,0.19,0.54,0.54,0.83,0.33,2,0
Tottenham,Lucas Moura,F M,25,1549,4,4,2,2.38,1.51,4.72,+0.72,4.72,+0.72,2.06,+0.06,8.35,2.29,0.27,0.27,0.12,0.39,0.39,0.49,0.13,2,0
Tottenham,Erik Lamela,F M,16,850,2,2,1,2.44,1.59,1.72,-0.28,1.72,-0.28,0.92,-0.08,4.73,2.83,0.18,0.18,0.10,0.28,0.28,0.50,0.30,2,0
Tottenham,Christian Eriksen,F M,20,1075,2,2,2,2.18,1.93,1.76,-0.24,1.76,-0.24,2.26,+0.26,4.12,1.82,0.15,0.15,0.19,0.34,0.34,0.35,0.15,5,0
Tottenham,Moussa Sissoko,D M,20,1694,2,2,1,0.69,0.58,2.45,+0.45,2.45,+0.45,1.55,+0.55,8.13,5.14,0.13,0.13,0.08,0.21,0.21,0.43,0.27,6,0
Tottenham,Tanguy NDombele Alvaro,M,17,883,2,2,2,0.92,1.22,0.35,-1.65,0.35,-1.65,0.80,-1.20,4.45,4.07,0.04,0.04,0.08,0.12,0.12,0.45,0.41,2,0
Tottenham,Toby Alderweireld,D,26,2329,1,1,2,0.35,0.43,0.28,-0.72,0.28,-0.72,1.23,-0.77,6.84,5.74,0.01,0.01,0.05,0.06,0.06,0.26,0.22,4,0
Tottenham,Jan Vertonghen,D,18,1463,1,1,1,0.18,0.18,0.60,-0.40,0.60,-0.40,1.02,+0.02,3.42,2.80,0.04,0.04,0.06,0.10,0.10,0.21,0.17,2,0
Tottenham,Steven Bergwijn,F M,3,243,1,1,0,1.85,1.85,0.45,-0.55,0.45,-0.55,0.23,+0.23,0.95,0.49,0.17,0.17,0.08,0.25,0.25,0.35,0.18,0,0
Tottenham,Hugo Lloris,GK,11,908,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.38,0.38,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0,0
Tottenham,Danny Rose,D M,12,895,0,0,0,0.20,1.11,0.09,+0.09,0.09,+0.09,0.68,+0.68,1.71,1.40,0.01,0.01,0.07,0.08,0.08,0.17,0.14,5,0
Tottenham,Eric Dier,D M,12,709,0,0,2,0.51,0.76,0.85,+0.85,0.85,+0.85,0.22,-1.78,4.36,3.46,0.11,0.11,0.03,0.14,0.14,0.55,0.44,4,0
Tottenham,Ben Davies,D,8,540,0,0,0,0.17,0.50,0.03,+0.03,0.03,+0.03,0.39,+0.39,2.05,2.02,0.00,0.00,0.06,0.07,0.07,0.34,0.34,1,0
Tottenham,Victor Wanyama,S,2,21,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.55,0.55,1,0
Tottenham,Kyle Walker-Peters,D,3,245,0,0,0,0.37,0.73,0.02,+0.02,0.02,+0.02,0.07,+0.07,0.49,0.47,0.01,0.01,0.03,0.03,0.03,0.18,0.17,0,0
Tottenham,Harry Winks,M,22,1515,0,0,0,0.48,0.71,0.21,+0.21,0.21,+0.21,0.80,+0.80,6.37,5.61,0.01,0.01,0.05,0.06,0.06,0.38,0.33,7,0
Tottenham,Paulo Gazzaniga,GK,17,1522,0,0,0,0.00,0.06,0.00,0,0.00,0,0.40,+0.40,2.30,1.90,0.00,0.00,0.02,0.02,0.02,0.14,0.11,1,0
Tottenham,Georges-Kevin Nkoudou,S,1,1,0,0,0,90.00,0.00,0.06,+0.06,0.06,+0.06,0.00,0,0.06,0.00,5.07,5.07,0.00,5.07,5.07,5.07,0.00,0,0
Tottenham,Serge Aurier,D M,22,1828,0,0,4,0.49,1.23,0.37,+0.37,0.37,+0.37,3.17,-0.83,8.11,5.15,0.02,0.02,0.16,0.17,0.17,0.40,0.25,1,1
Tottenham,Giovani Lo Celso,M,17,717,0,0,0,1.13,1.76,0.91,+0.91,0.91,+0.91,0.65,+0.65,4.06,2.93,0.11,0.11,0.08,0.20,0.20,0.51,0.37,3,0
Tottenham,Davinson Sanchez,D,20,1712,0,0,0,0.21,0.05,0.60,+0.60,0.60,+0.60,0.04,+0.04,5.27,5.23,0.03,0.03,0.00,0.03,0.03,0.28,0.28,4,0
Tottenham,Juan Foyth,D,4,67,0,0,0,0.00,1.34,0.00,0,0.00,0,0.02,+0.02,0.10,0.10,0.00,0.00,0.03,0.03,0.03,0.13,0.13,1,0
Tottenham,Ryan Sessegnon,D M,6,341,0,0,0,0.26,0.53,0.09,+0.09,0.09,+0.09,0.05,+0.05,0.53,0.40,0.02,0.02,0.01,0.04,0.04,0.14,0.11,0,0
Tottenham,Oliver Skipp,S,3,9,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
Tottenham,Troy Parrott,S,1,2,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
Tottenham,Japhet Tanganga,D,4,360,0,0,0,0.25,0.00,0.02,+0.02,0.02,+0.02,0.00,0,0.34,0.32,0.00,0.00,0.00,0.00,0.00,0.08,0.08,1,0
Tottenham,Gedson Fernandes,S,3,26,0,0,0,3.46,3.46,0.05,+0.05,0.05,+0.05,0.02,+0.02,0.12,0.05,0.18,0.18,0.06,0.23,0.23,0.40,0.17,0,0
Sheffield United,Lys Mousset,F,23,1015,5,5,4,2.93,1.06,4.86,-0.14,4.86,-0.14,3.61,-0.39,8.53,2.58,0.43,0.43,0.32,0.75,0.75,0.76,0.23,1,0
Sheffield United,John Fleck,M,24,2098,5,5,2,1.33,1.50,3.24,-1.76,3.24,-1.76,3.07,+1.07,10.13,5.25,0.14,0.14,0.13,0.27,0.27,0.43,0.23,7,0
Sheffield United,Oliver McBurnie,F,25,1339,4,4,0,2.42,0.47,6.15,+2.15,6.15,+2.15,0.67,+0.67,6.21,1.96,0.41,0.41,0.04,0.46,0.46,0.42,0.13,3,0
Sheffield United,John Lundstram,M,26,1978,4,4,2,1.59,0.82,4.63,+0.63,4.63,+0.63,2.90,+0.90,9.17,3.82,0.21,0.21,0.13,0.34,0.34,0.42,0.17,4,0
Sheffield United,George Baldock,M,27,2430,2,2,3,0.33,0.56,0.49,-1.51,0.49,-1.51,0.98,-2.02,5.90,5.04,0.02,0.02,0.04,0.05,0.05,0.22,0.19,6,0
Sheffield United,Enda Stevens,M,27,2388,2,2,2,0.57,1.09,1.11,-0.89,1.11,-0.89,4.42,+2.42,11.11,8.01,0.04,0.04,0.17,0.21,0.21,0.42,0.30,5,0
Sheffield United,Billy Sharp,F,17,589,2,2,0,1.38,1.38,2.46,+0.46,2.46,+0.46,1.49,+1.49,3.50,1.04,0.38,0.38,0.23,0.60,0.60,0.54,0.16,1,1
Sheffield United,Callum Robinson,F,16,674,1,1,1,1.60,0.53,1.56,+0.56,1.56,+0.56,0.65,-0.35,2.84,0.70,0.21,0.21,0.09,0.30,0.30,0.38,0.09,1,0
Sheffield United,Oliver Norwood,M,27,2306,1,0,0,0.66,1.52,1.34,+0.34,0.58,+0.58,3.33,+3.33,7.16,6.33,0.05,0.02,0.13,0.18,0.15,0.28,0.25,6,0
Sheffield United,Phil Jagielka,D,4,123,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0,0
Sheffield United,Muhamed Besic,M,9,236,0,0,0,1.53,0.38,0.15,+0.15,0.15,+0.15,0.09,+0.09,1.20,0.98,0.06,0.06,0.03,0.09,0.09,0.46,0.38,2,0
Sheffield United,Ravel Morrison,S,1,11,0,0,0,8.18,0.00,0.03,+0.03,0.03,+0.03,0.00,0,0.00,0.00,0.22,0.22,0.00,0.22,0.22,0.00,0.00,0,0
Sheffield United,Dean Henderson,GK,26,2340,0,0,0,0.04,0.00,0.03,+0.03,0.03,+0.03,0.00,0,0.26,0.26,0.00,0.00,0.00,0.00,0.00,0.01,0.01,2,0
Sheffield United,John Egan,D,26,2332,0,0,0,0.66,0.00,1.46,+1.46,1.46,+1.46,0.00,0,3.13,2.99,0.06,0.06,0.00,0.06,0.06,0.12,0.12,2,0
Sheffield United,Chris Basham,D,27,2360,0,0,0,0.19,0.34,0.28,+0.28,0.28,+0.28,1.07,+1.07,3.28,2.86,0.01,0.01,0.04,0.05,0.05,0.13,0.11,4,0
Sheffield United,Jack O'Connell,D,27,2430,0,0,1,0.48,0.52,0.70,+0.70,0.70,+0.70,3.42,+2.42,6.85,5.64,0.03,0.03,0.13,0.15,0.15,0.25,0.21,3,0
Sheffield United,David McGoldrick,F,20,1353,0,0,2,2.33,0.80,7.19,+7.19,7.19,+7.19,1.49,-0.51,9.80,2.67,0.48,0.48,0.10,0.58,0.58,0.65,0.18,2,0
Sheffield United,Luke Freeman,M,9,322,0,0,0,0.56,0.84,0.03,+0.03,0.03,+0.03,0.19,+0.19,0.66,0.44,0.01,0.01,0.05,0.06,0.06,0.18,0.12,2,0
Sheffield United,Ben Osborn,S,6,89,0,0,0,0.00,2.02,0.00,0,0.00,0,0.53,+0.53,1.25,0.73,0.00,0.00,0.53,0.53,0.53,1.27,0.74,0,0
Sheffield United,Simon Moore,GK,1,90,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
Sheffield United,Leon Clarke,S,1,12,0,0,0,7.50,0.00,0.43,+0.43,0.43,+0.43,0.00,0,0.49,0.06,3.21,3.21,0.00,3.21,3.21,3.66,0.45,0,0
Sheffield United,Sander Berge,M,3,216,0,0,0,0.42,0.00,0.05,+0.05,0.05,+0.05,0.00,0,0.02,0.02,0.02,0.02,0.00,0.02,0.02,0.01,0.01,0,0
Wolverhampton Wanderers,Raul Jimenez,F,27,2293,12,9,6,3.53,1.57,12.84,+0.84,10.56,+1.56,6.50,+0.50,18.38,4.68,0.50,0.41,0.26,0.76,0.67,0.72,0.18,3,0
Wolverhampton Wanderers,Diogo Jota,F M,23,1639,5,5,0,2.91,1.15,8.85,+3.85,8.85,+3.85,1.18,+1.18,11.71,3.75,0.49,0.49,0.06,0.55,0.55,0.64,0.21,3,0
Wolverhampton Wanderers,Adama Traore,F M,26,1967,4,4,7,1.46,1.69,2.07,-1.93,2.07,-1.93,5.86,-1.14,11.03,4.65,0.09,0.09,0.27,0.36,0.36,0.50,0.21,0,0
Wolverhampton Wanderers,Matt Doherty,D M,25,1966,3,3,1,1.19,0.64,5.35,+2.35,5.35,+2.35,1.24,+0.24,10.70,5.22,0.25,0.25,0.06,0.30,0.30,0.49,0.24,1,0
Wolverhampton Wanderers,Romain Saiss,D M,23,1802,2,2,1,0.95,0.50,2.90,+0.90,2.90,+0.90,1.06,+0.06,7.87,7.08,0.15,0.15,0.05,0.20,0.20,0.39,0.35,7,1
Wolverhampton Wanderers,Patrick Cutrone,F,12,291,2,2,0,3.40,0.62,2.29,+0.29,2.29,+0.29,0.48,+0.48,2.31,0.00,0.71,0.71,0.15,0.86,0.86,0.71,0.00,0,0
Wolverhampton Wanderers,Pedro Neto,F M,20,705,2,2,2,1.66,1.40,1.53,-0.47,1.53,-0.47,2.35,+0.35,6.38,3.81,0.20,0.20,0.30,0.50,0.50,0.81,0.49,2,0
Wolverhampton Wanderers,Ruben Neves,M,27,2141,2,2,1,1.81,0.71,1.13,-0.87,1.13,-0.87,1.30,+0.30,9.60,8.40,0.05,0.05,0.05,0.10,0.10,0.40,0.35,7,0
Wolverhampton Wanderers,Leander Dendoncker,D M,27,2187,2,2,0,0.45,0.21,1.94,-0.06,1.94,-0.06,0.56,+0.56,8.49,7.81,0.08,0.08,0.02,0.10,0.10,0.35,0.32,3,0
Wolverhampton Wanderers,Jonny,M,26,2210,1,1,1,0.69,0.81,1.45,+0.45,1.45,+0.45,1.44,+0.44,8.03,5.61,0.06,0.06,0.06,0.12,0.12,0.33,0.23,4,0
Wolverhampton Wanderers,Joao Moutinho,M,27,2255,1,1,6,0.72,2.31,0.59,-0.41,0.59,-0.41,5.05,-0.95,8.46,7.48,0.02,0.02,0.20,0.22,0.22,0.34,0.30,5,0
Wolverhampton Wanderers,Ryan Bennett,D,11,606,0,0,0,0.15,0.30,0.02,+0.02,0.02,+0.02,0.09,+0.09,0.80,0.71,0.00,0.00,0.01,0.02,0.02,0.12,0.10,2,0
Wolverhampton Wanderers,Jesus Vallejo,D,2,163,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.03,0.03,1,0
Wolverhampton Wanderers,Rui Patricio,GK,27,2430,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,1.95,1.95,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0,0
Wolverhampton Wanderers,Willy Boly,D,11,990,0,0,1,0.09,0.45,0.01,+0.01,0.01,+0.01,0.91,-0.09,2.93,2.08,0.00,0.00,0.08,0.08,0.08,0.27,0.19,0,1
Wolverhampton Wanderers,Conor Coady,D,27,2430,0,0,0,0.00,0.19,0.00,0,0.00,0,0.53,+0.53,7.13,6.69,0.00,0.00,0.02,0.02,0.02,0.26,0.25,3,0
Wolverhampton Wanderers,Ruben Vinagre,M,11,331,0,0,0,1.36,0.82,0.30,+0.30,0.30,+0.30,0.59,+0.59,1.65,1.17,0.08,0.08,0.16,0.24,0.24,0.45,0.32,1,0
Wolverhampton Wanderers,Morgan Gibbs-White,M,4,116,0,0,0,1.55,2.33,0.07,+0.07,0.07,+0.07,0.07,+0.07,0.31,0.19,0.06,0.06,0.05,0.11,0.11,0.24,0.15,0,0
Wolverhampton Wanderers,Max Kilman,D,3,183,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0,0
Wolverhampton Wanderers,Daniel Podence,S,2,21,0,0,0,4.29,4.29,0.11,+0.11,0.11,+0.11,0.09,+0.09,0.23,0.12,0.48,0.48,0.40,0.88,0.88,1.00,0.52,0,0
Burnley,Chris Wood,F,25,1993,10,10,1,2.12,0.68,12.90,+2.90,12.90,+2.90,0.58,-0.42,9.55,2.36,0.58,0.58,0.03,0.61,0.61,0.43,0.11,1,0
Burnley,Ashley Barnes,F,19,1386,6,5,0,2.60,0.32,6.52,+0.52,5.76,+0.76,0.31,+0.31,5.06,1.57,0.42,0.37,0.02,0.44,0.39,0.33,0.10,4,0
Burnley,Jay Rodriguez,F,27,1275,5,4,0,2.89,0.21,6.12,+1.12,5.36,+1.36,0.14,+0.14,4.52,0.27,0.43,0.38,0.01,0.44,0.39,0.32,0.02,1,0
Burnley,Ashley Westwood,M,25,2250,2,2,5,0.44,1.44,0.81,-1.19,0.81,-1.19,5.47,+0.47,6.74,4.13,0.03,0.03,0.22,0.25,0.25,0.27,0.17,8,0
Burnley,Matej Vydra,F,9,298,2,2,1,2.72,0.91,1.89,-0.11,1.89,-0.11,0.08,-0.92,1.94,0.00,0.57,0.57,0.02,0.59,0.59,0.59,0.00,0,0
Burnley,Jeff Hendrick,M,23,1854,2,2,2,0.97,0.63,1.91,-0.09,1.91,-0.09,1.35,-0.65,4.80,2.45,0.09,0.09,0.07,0.16,0.16,0.23,0.12,7,0
Burnley,Dwight McNeil,M,28,2460,2,2,5,1.21,1.50,1.22,-0.78,1.22,-0.78,6.40,+1.40,7.95,2.20,0.04,0.04,0.23,0.28,0.28,0.29,0.08,4,0
Burnley,Robbie Brady,M,14,397,1,1,2,1.81,1.81,0.84,-0.16,0.84,-0.16,0.24,-1.76,0.87,0.40,0.19,0.19,0.05,0.24,0.24,0.20,0.09,1,0
Burnley,Johann Berg Gudmundsson,M,7,399,1,1,0,2.03,2.26,0.54,-0.46,0.54,-0.46,0.68,+0.68,0.72,0.32,0.12,0.12,0.15,0.27,0.27,0.16,0.07,0,0
Burnley,James Tarkowski,D,28,2520,1,1,1,0.57,0.32,1.75,+0.75,1.75,+0.75,2.74,+1.74,1.55,1.50,0.06,0.06,0.10,0.16,0.16,0.06,0.05,7,0
Burnley,Aaron Lennon,M,15,465,0,0,0,0.19,0.39,0.02,+0.02,0.02,+0.02,0.16,+0.16,0.29,0.11,0.00,0.00,0.03,0.04,0.04,0.06,0.02,4,0
Burnley,Jack Cork,M,26,2286,0,0,0,0.63,0.47,1.19,+1.19,1.19,+1.19,1.18,+1.18,5.91,4.46,0.05,0.05,0.05,0.09,0.09,0.23,0.18,0,0
Burnley,Daniel Drinkwater,M,1,61,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
Burnley,Phil Bardsley,D,13,1170,0,0,1,0.62,0.38,0.14,+0.14,0.14,+0.14,0.97,-0.03,1.91,0.95,0.01,0.01,0.07,0.09,0.09,0.15,0.07,4,0
Burnley,Erik Pieters,D,15,1241,0,0,3,0.51,0.73,0.18,+0.18,0.18,+0.18,1.52,-1.48,2.75,1.12,0.01,0.01,0.11,0.12,0.12,0.20,0.08,1,0
Burnley,Matthew Lowton,D,15,1350,0,0,1,0.07,0.73,0.01,+0.01,0.01,+0.01,1.27,+0.27,3.16,2.13,0.00,0.00,0.08,0.09,0.09,0.21,0.14,2,0
Burnley,Ben Mee,D,28,2520,0,0,1,0.50,0.29,0.86,+0.86,0.86,+0.86,1.53,+0.53,1.58,1.45,0.03,0.03,0.05,0.09,0.09,0.06,0.05,7,0
Burnley,Kevin Long,S,1,1,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
Burnley,Nick Pope,GK,28,2520,0,0,0,0.00,0.11,0.00,0,0.00,0,0.20,+0.20,1.98,1.82,0.00,0.00,0.01,0.01,0.01,0.07,0.07,0,0
Burnley,Charlie Taylor,D,16,1279,0,0,0,0.07,0.77,0.01,+0.01,0.01,+0.01,0.70,+0.70,3.04,2.97,0.00,0.00,0.05,0.05,0.05,0.21,0.21,2,0
Burnley,Josh Brownhill,S,1,1,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
Arsenal,Pierre-Emerick Aubameyang,F M,25,2219,17,16,1,2.60,0.73,12.10,-4.90,11.34,-4.66,3.12,+2.12,15.04,3.98,0.49,0.46,0.13,0.62,0.59,0.61,0.16,3,1
Arsenal,Alexandre Lacazette,F,19,1289,6,6,3,2.72,1.40,5.38,-0.62,5.38,-0.62,2.89,-0.11,8.01,1.45,0.38,0.38,0.20,0.58,0.58,0.56,0.10,5,0
Arsenal,Nicolas Pepe,F M,23,1522,4,3,5,2.48,1.95,4.71,+0.71,3.95,+0.95,3.97,-1.03,9.53,4.27,0.28,0.23,0.23,0.51,0.47,0.56,0.25,3,0
Arsenal,Gabriel Martinelli,M,14,643,3,3,0,1.68,0.28,2.24,-0.76,2.24,-0.76,0.11,+0.11,3.41,1.05,0.31,0.31,0.02,0.33,0.33,0.48,0.15,1,0
Arsenal,Sokratis,D,18,1608,2,2,0,0.34,0.11,1.08,-0.92,1.08,-0.92,0.75,+0.75,3.93,3.93,0.06,0.06,0.04,0.10,0.10,0.22,0.22,5,0
Arsenal,David Luiz,D,24,2095,2,2,1,0.82,0.17,1.44,-0.56,1.44,-0.56,0.80,-0.20,7.92,7.11,0.06,0.06,0.03,0.10,0.10,0.34,0.31,4,1
Arsenal,Hector Bellerin,D M,7,626,1,1,0,0.58,0.14,0.21,-0.79,0.21,-0.79,0.13,+0.13,3.12,2.87,0.03,0.03,0.02,0.05,0.05,0.45,0.41,2,0
Arsenal,Mesut Ozil,M,17,1382,1,1,1,0.52,2.34,1.61,+0.61,1.61,+0.61,1.76,+0.76,7.55,6.01,0.11,0.11,0.11,0.22,0.22,0.49,0.39,1,0
Arsenal,Calum Chambers,D,14,1102,1,1,1,0.98,0.57,0.63,-0.37,0.63,-0.37,2.24,+1.24,4.41,3.21,0.05,0.05,0.18,0.23,0.23,0.36,0.26,5,0
Arsenal,Lucas Torreira,M,24,1364,1,1,1,1.32,0.86,1.45,+0.45,1.45,+0.45,0.83,-0.17,6.29,4.72,0.10,0.10,0.05,0.15,0.15,0.42,0.31,4,0
Arsenal,Eddie Nketiah,F,4,191,1,1,0,2.83,0.47,1.41,+0.41,1.41,+0.41,0.07,+0.07,1.56,0.08,0.66,0.66,0.03,0.70,0.70,0.73,0.04,0,0
Arsenal,Bernd Leno,GK,27,2430,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,4.09,4.09,0.00,0.00,0.00,0.00,0.00,0.15,0.15,2,0
Arsenal,Granit Xhaka,M,21,1830,0,0,1,0.39,0.64,0.19,+0.19,0.19,+0.19,0.85,-0.15,10.83,10.51,0.01,0.01,0.04,0.05,0.05,0.53,0.52,7,0
Arsenal,Henrikh Mkhitaryan,M,3,109,0,0,0,1.65,1.65,0.43,+0.43,0.43,+0.43,0.27,+0.27,0.87,0.29,0.35,0.35,0.23,0.58,0.58,0.72,0.24,1,0
Arsenal,Sead Kolasinac,D M,17,1103,0,0,2,0.24,0.73,0.19,+0.19,0.19,+0.19,1.28,-0.72,6.22,5.23,0.02,0.02,0.10,0.12,0.12,0.51,0.43,3,0
Arsenal,Nacho Monreal,D,3,270,0,0,0,0.33,1.00,0.04,+0.04,0.04,+0.04,0.46,+0.46,0.67,0.58,0.01,0.01,0.15,0.17,0.17,0.22,0.19,0,0
Arsenal,Shkodran Mustafi,D,8,620,0,0,1,1.02,0.15,0.47,+0.47,0.47,+0.47,0.53,-0.47,2.84,2.30,0.07,0.07,0.08,0.15,0.15,0.41,0.33,0,0
Arsenal,Rob Holding,D,2,84,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
Arsenal,Ainsley Maitland-Niles,D,14,1210,0,0,2,0.22,0.67,0.41,+0.41,0.41,+0.41,1.45,-0.55,4.57,3.02,0.03,0.03,0.11,0.14,0.14,0.34,0.22,3,1
Arsenal,Dani Ceballos,M,13,829,0,0,2,1.09,1.52,0.37,+0.37,0.37,+0.37,0.74,-1.26,5.97,5.27,0.04,0.04,0.08,0.12,0.12,0.65,0.57,0,0
Arsenal,Matteo Guendouzi,M,22,1584,0,0,1,0.63,0.68,0.53,+0.53,0.53,+0.53,1.06,+0.06,6.68,5.36,0.03,0.03,0.06,0.09,0.09,0.38,0.30,6,0
Arsenal,Reiss Nelson,M,10,443,0,0,0,1.63,1.02,0.68,+0.68,0.68,+0.68,0.17,+0.17,1.27,0.57,0.14,0.14,0.04,0.17,0.17,0.26,0.12,1,0
Arsenal,Joe Willock,M,19,564,0,0,0,1.44,1.60,0.80,+0.80,0.80,+0.80,0.49,+0.49,3.78,2.87,0.13,0.13,0.08,0.21,0.21,0.60,0.46,1,0
Arsenal,Emile Smith-Rowe,M,2,96,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
Arsenal,Bukayo Saka,D F M,17,1088,0,0,3,0.58,0.83,0.82,+0.82,0.82,+0.82,2.22,-0.78,6.07,4.34,0.07,0.07,0.18,0.25,0.25,0.50,0.36,4,0
Arsenal,Kieran Tierney,D M,5,301,0,0,0,0.60,1.20,0.07,+0.07,0.07,+0.07,0.32,+0.32,0.46,0.19,0.02,0.02,0.10,0.12,0.12,0.14,0.06,1,0
Everton,Dominic Calvert-Lewin,F,25,1753,12,12,1,3.08,0.67,11.94,-0.06,11.94,-0.06,1.16,+0.16,12.82,2.97,0.61,0.61,0.06,0.67,0.67,0.66,0.15,6,0
Everton,Richarlison,F M,25,2188,10,10,3,2.67,1.23,6.78,-3.22,6.78,-3.22,5.45,+2.45,12.90,4.04,0.28,0.28,0.22,0.50,0.50,0.53,0.17,5,0
Everton,Bernard,M,17,958,3,3,2,1.03,1.88,1.55,-1.45,1.55,-1.45,1.56,-0.44,5.16,2.37,0.15,0.15,0.15,0.29,0.29,0.48,0.22,2,0
Everton,Yerry Mina,D,25,2082,2,2,1,1.25,0.26,3.08,+1.08,3.08,+1.08,1.00,0,3.84,3.56,0.13,0.13,0.04,0.18,0.18,0.17,0.15,3,0
