Team,Player,Pos,Apps,Min,G,NPG,A,Sh90,KP90,xG,xG Change,NPxG,NPxG Change,xA,xA Change,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90 + xA90,NPxG90 + xA90,xGChain90,xGBuildup90,Yellow Flag,Red Flag
Everton,Alex Iwobi,F M,18,1188,1,1,0,1.59,1.36,2.32,+1.32,2.32,+1.32,1.80,+1.80,6.13,2.68,0.18,0.18,0.14,0.31,0.31,0.46,0.20,0,0
Everton,Theo Walcott,M,19,969,1,1,2,2.60,1.21,3.07,+2.07,3.07,+2.07,2.06,+0.06,6.05,1.66,0.28,0.28,0.19,0.48,0.48,0.56,0.15,1,0
Everton,Gylfi Sigurdsson,M,24,1834,1,1,2,1.67,2.21,2.39,+1.39,2.39,+1.39,3.73,+1.73,7.98,4.70,0.12,0.12,0.18,0.30,0.30,0.39,0.23,3,0
Everton,Tom Davies,M,19,1209,1,1,0,0.97,0.30,1.43,+0.43,1.43,+0.43,0.36,+0.36,3.25,2.81,0.11,0.11,0.03,0.13,0.13,0.24,0.21,6,0
Everton,Moise Kean,F,20,599,1,1,2,3.46,1.05,2.97,+1.97,2.97,+1.97,2.02,+0.02,5.35,1.01,0.45,0.45,0.30,0.75,0.75,0.80,0.15,0,0
Everton,Michael Keane,D,20,1560,1,1,0,0.63,0.12,1.82,+0.82,1.82,+0.82,0.19,+0.19,2.30,2.05,0.11,0.11,0.01,0.12,0.12,0.13,0.12,0,0
Everton,Cenk Tosun,F,5,290,1,1,0,3.41,1.24,1.08,+0.08,1.08,+0.08,0.15,+0.15,1.12,0.00,0.34,0.34,0.05,0.38,0.38,0.35,0.00,0,0
Everton,Morgan Schneiderlin,M,15,1014,0,0,0,0.53,0.36,0.34,+0.34,0.34,+0.34,0.12,+0.12,3.25,2.99,0.03,0.03,0.01,0.04,0.04,0.29,0.27,4,1
Everton,Seamus Coleman,D,17,1166,0,0,1,0.46,0.62,0.78,+0.78,0.78,+0.78,1.50,+0.50,3.64,1.86,0.06,0.06,0.12,0.18,0.18,0.28,0.14,3,1
Everton,Leighton Baines,D,4,243,0,0,0,0.37,0.74,0.04,+0.04,0.04,+0.04,0.10,+0.10,0.64,0.64,0.02,0.02,0.04,0.05,0.05,0.24,0.24,0,0
Everton,Oumar Niasse,S,3,17,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0,0
Everton,Jordan Pickford,GK,27,2430,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,2.27,2.27,0.00,0.00,0.00,0.00,0.00,0.08,0.08,1,0
Everton,Fabian Delph,M,16,1194,0,0,0,0.23,0.53,0.05,+0.05,0.05,+0.05,0.47,+0.47,4.65,4.45,0.00,0.00,0.04,0.04,0.04,0.35,0.34,3,1
Everton,Mason Holgate,D M,20,1547,0,0,3,0.64,0.17,1.34,+1.34,1.34,+1.34,1.10,-1.90,4.86,4.21,0.08,0.08,0.06,0.14,0.14,0.28,0.24,3,0
Everton,Lucas Digne,D M,25,2160,0,0,5,0.92,2.42,0.88,+0.88,0.88,+0.88,5.25,+0.25,6.56,4.54,0.04,0.04,0.22,0.26,0.26,0.27,0.19,2,0
Everton,Andre Gomes,M,9,611,0,0,0,0.29,0.88,0.04,+0.04,0.04,+0.04,0.36,+0.36,2.21,1.81,0.01,0.01,0.05,0.06,0.06,0.33,0.27,4,0
Everton,Djibril Sidibe,D M,19,1487,0,0,4,0.54,1.03,0.24,+0.24,0.24,+0.24,2.43,-1.57,6.48,3.88,0.01,0.01,0.15,0.16,0.16,0.39,0.23,2,0
Everton,Jean-Philippe Gbamin,M,2,135,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
Everton,Anthony Gordon,S,1,43,0,0,0,4.19,0.00,0.12,+0.12,0.12,+0.12,0.00,0,0.12,0.00,0.26,0.26,0.00,0.26,0.26,0.26,0.00,0,0
Crystal Palace,Jordan Ayew,F M,27,2324,7,7,1,1.67,0.81,6.09,-0.91,6.09,-0.91,1.98,+0.98,9.34,2.60,0.24,0.24,0.08,0.31,0.31,0.36,0.10,4,0
Crystal Palace,Wilfried Zaha,F M,28,2452,3,3,3,1.50,1.06,3.36,+0.36,3.36,+0.36,2.93,-0.07,8.54,3.49,0.12,0.12,0.11,0.23,0.23,0.31,0.13,3,0
Crystal Palace,Patrick van Aanholt,D,21,1803,3,2,0,1.00,1.15,1.58,-1.42,0.82,-1.18,2.08,+2.08,3.61,2.75,0.08,0.04,0.10,0.18,0.14,0.18,0.14,0,0
Crystal Palace,Jeffrey Schlupp,D F M,14,858,2,2,1,1.47,0.73,1.53,-0.47,1.53,-0.47,0.95,-0.05,3.00,1.00,0.16,0.16,0.10,0.26,0.26,0.31,0.10,2,0
Crystal Palace,Luka Milivojevic,M,22,1968,2,0,1,1.10,1.19,2.15,+0.15,0.62,+0.62,1.66,+0.66,3.39,2.89,0.10,0.03,0.08,0.17,0.10,0.15,0.13,9,0
Crystal Palace,Connor Wickham,S,6,78,1,1,1,3.46,3.46,0.99,-0.01,0.99,-0.01,0.40,-0.60,1.32,0.02,1.14,1.14,0.46,1.60,1.60,1.53,0.02,0,0
Crystal Palace,James Tomkins,D,18,1589,1,1,1,0.51,0.11,1.05,+0.05,1.05,+0.05,0.12,-0.88,2.65,2.53,0.06,0.06,0.01,0.07,0.07,0.15,0.14,5,0
Crystal Palace,Cheikhou Kouyate,D M,26,1918,1,1,1,1.03,0.47,2.01,+1.01,2.01,+1.01,0.77,-0.23,3.26,1.21,0.09,0.09,0.04,0.13,0.13,0.15,0.06,1,0
Crystal Palace,Christian Benteke,F,19,816,1,1,1,2.98,1.54,2.93,+1.93,2.93,+1.93,1.79,+0.79,4.43,0.64,0.32,0.32,0.20,0.52,0.52,0.49,0.07,3,0
Crystal Palace,Andros Townsend,M,15,793,1,1,1,0.57,0.91,0.20,-0.80,0.20,-0.80,1.14,+0.14,1.54,0.56,0.02,0.02,0.13,0.15,0.15,0.18,0.06,0,0
Crystal Palace,Cenk Tosun,F,5,177,1,1,0,2.03,0.51,0.83,-0.17,0.83,-0.17,0.48,+0.48,1.21,0.26,0.42,0.42,0.24,0.66,0.66,0.61,0.13,0,0
Crystal Palace,Max Meyer,F M,13,544,0,0,0,1.32,0.17,0.43,+0.43,0.43,+0.43,0.08,+0.08,0.61,0.27,0.07,0.07,0.01,0.09,0.09,0.10,0.05,1,0
Crystal Palace,Mamadou Sakho,D,8,463,0,0,0,0.00,0.19,0.00,0,0.00,0,0.03,+0.03,1.00,0.97,0.00,0.00,0.01,0.01,0.01,0.20,0.19,0,1
Crystal Palace,Wayne Hennessey,GK,2,180,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0,0
Crystal Palace,Joel Ward,D,19,1483,0,0,0,0.18,0.24,0.15,+0.15,0.15,+0.15,0.16,+0.16,1.27,1.06,0.01,0.01,0.01,0.02,0.02,0.08,0.06,3,0
Crystal Palace,Scott Dann,D,8,543,0,0,1,0.33,0.33,0.17,+0.17,0.17,+0.17,0.17,-0.83,0.96,0.96,0.03,0.03,0.03,0.06,0.06,0.16,0.16,0,0
Crystal Palace,Martin Kelly,D,19,1554,0,0,1,0.12,0.35,0.06,+0.06,0.06,+0.06,0.83,-0.17,2.38,2.18,0.00,0.00,0.05,0.05,0.05,0.14,0.13,0,0
Crystal Palace,James McCarthy,M,23,1067,0,0,0,0.76,0.84,0.31,+0.31,0.31,+0.31,0.97,+0.97,2.37,1.98,0.03,0.03,0.08,0.11,0.11,0.20,0.17,6,0
Crystal Palace,James McArthur,M,27,2377,0,0,2,0.87,0.87,1.90,+1.90,1.90,+1.90,2.50,+0.50,6.47,3.25,0.07,0.07,0.09,0.17,0.17,0.24,0.12,5,0
Crystal Palace,Gary Cahill,D,19,1710,0,0,1,0.79,0.16,1.27,+1.27,1.27,+1.27,0.43,-0.57,1.36,1.32,0.07,0.07,0.02,0.09,0.09,0.07,0.07,1,0
Crystal Palace,Vicente Guaita,GK,26,2340,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,1.88,1.88,0.00,0.00,0.00,0.00,0.00,0.07,0.07,1,0
Crystal Palace,Victor Camarasa,S,1,3,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.07,0.07,0.00,0.00,0.00,0.00,0.00,1.96,1.96,0,0
Crystal Palace,Jairo Riedewald,D,10,608,0,0,0,0.44,0.30,0.05,+0.05,0.05,+0.05,0.51,+0.51,1.52,1.09,0.01,0.01,0.08,0.08,0.08,0.23,0.16,0,0
Crystal Palace,Brandon Pierrick,S,1,6,0,0,0,0.00,30.00,0.00,0,0.00,0,0.10,+0.10,0.10,0.00,0.00,0.00,1.43,1.43,1.43,1.43,0.00,0,0
Southampton,Danny Ings,F M,28,1936,15,15,1,3.11,0.98,10.81,-4.19,10.81,-4.19,1.84,+0.84,12.13,2.38,0.50,0.50,0.09,0.59,0.59,0.56,0.11,2,0
Southampton,James Ward-Prowse,D M,28,2520,4,3,3,1.32,1.61,4.79,+0.79,3.26,+0.26,4.20,+1.20,9.14,6.49,0.17,0.12,0.15,0.32,0.27,0.33,0.23,7,0
Southampton,Nathan Redmond,F M,23,1971,3,3,1,1.92,1.28,4.02,+1.02,4.02,+1.02,2.25,+1.25,8.86,3.47,0.18,0.18,0.10,0.29,0.29,0.40,0.16,2,0
Southampton,Stuart Armstrong,M,21,1135,3,3,0,2.46,0.87,1.75,-1.25,1.75,-1.25,0.97,+0.97,4.34,2.41,0.14,0.14,0.08,0.22,0.22,0.34,0.19,3,0
Southampton,Shane Long,F,18,1078,2,2,2,2.25,1.50,3.89,+1.89,3.89,+1.89,2.42,+0.42,4.92,0.68,0.32,0.32,0.20,0.53,0.53,0.41,0.06,0,0
Southampton,Michael Obafemi,F,14,467,2,2,0,1.54,0.96,1.17,-0.83,1.17,-0.83,0.64,+0.64,1.85,0.50,0.23,0.23,0.12,0.35,0.35,0.36,0.10,1,0
Southampton,Moussa Djenepo,F M,17,893,2,2,2,2.02,1.11,2.25,+0.25,2.25,+0.25,2.05,+0.05,5.40,2.36,0.23,0.23,0.21,0.43,0.43,0.54,0.24,4,0
Southampton,Jannik Vestergaard,D,14,1139,1,1,0,0.71,0.40,0.57,-0.43,0.57,-0.43,0.73,+0.73,2.58,2.46,0.05,0.05,0.06,0.10,0.10,0.20,0.19,2,0
Southampton,Ryan Bertrand,D M,23,1932,1,1,1,0.65,1.12,1.94,+0.94,1.94,+0.94,2.83,+1.83,6.12,4.33,0.09,0.09,0.13,0.22,0.22,0.28,0.20,3,1
Southampton,Jack Stephens,D,20,1738,1,1,3,0.31,0.26,0.92,-0.08,0.92,-0.08,0.75,-2.25,3.92,3.21,0.05,0.05,0.04,0.09,0.09,0.20,0.17,2,0
Southampton,Jan Bednarek,D,26,2339,1,1,0,0.19,0.08,0.88,-0.12,0.88,-0.12,0.14,+0.14,3.18,3.16,0.03,0.03,0.01,0.04,0.04,0.12,0.12,3,0
Southampton,Pierre-Emile Hjbjerg,D M,27,2354,0,0,1,1.57,0.99,2.34,+2.34,2.34,+2.34,1.66,+0.66,9.55,6.64,0.09,0.09,0.06,0.15,0.15,0.37,0.25,5,0
Southampton,Alex McCarthy,GK,18,1620,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,2.11,2.11,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0,0
Southampton,Oriol Romeu,M,22,1301,0,0,0,0.28,0.76,0.13,+0.13,0.13,+0.13,0.61,+0.61,2.20,1.61,0.01,0.01,0.04,0.05,0.05,0.15,0.11,3,0
Southampton,Maya Yoshida,D,8,555,0,0,0,0.81,0.16,0.94,+0.94,0.94,+0.94,0.07,+0.07,0.67,0.59,0.15,0.15,0.01,0.16,0.16,0.11,0.10,1,0
Southampton,Cedric Soares,D M,16,1314,0,0,1,0.62,0.75,0.64,+0.64,0.64,+0.64,0.79,-0.21,3.00,1.95,0.04,0.04,0.05,0.10,0.10,0.21,0.13,1,0
Southampton,Kyle Walker-Peters,D,1,78,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0,0
Southampton,Sofiane Boufal,M,18,657,0,0,2,2.33,1.92,1.01,+1.01,1.01,+1.01,2.63,+0.63,5.98,3.44,0.14,0.14,0.36,0.50,0.50,0.82,0.47,2,0
Southampton,Kevin Danso,D,6,272,0,0,1,0.33,0.33,0.08,+0.08,0.08,+0.08,0.08,-0.92,0.50,0.50,0.03,0.03,0.03,0.05,0.05,0.16,0.16,0,1
Southampton,Angus Gunn,GK,10,900,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.49,0.49,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0,0
Southampton,Yan Valery,D M,8,567,0,0,0,0.32,0.32,0.21,+0.21,0.21,+0.21,1.14,+1.14,3.14,2.35,0.03,0.03,0.18,0.21,0.21,0.50,0.37,1,0
Southampton,Che Adams,F,21,703,0,0,2,2.30,1.28,2.91,+2.91,2.91,+2.91,1.47,-0.53,3.63,0.81,0.37,0.37,0.19,0.56,0.56,0.46,0.10,0,0
Southampton,William Smallbone,M,2,165,0,0,0,1.09,0.00,0.15,+0.15,0.15,+0.15,0.00,0,0.36,0.21,0.08,0.08,0.00,0.08,0.08,0.20,0.11,0,0
Newcastle United,Jonjo Shelvey,M,16,1262,5,5,0,2.14,2.00,1.21,-3.79,1.21,-3.79,2.49,+2.49,3.93,2.67,0.09,0.09,0.18,0.26,0.26,0.28,0.19,2,0
Newcastle United,Fabian Schar,D,18,1401,2,2,0,1.22,0.19,1.05,-0.95,1.05,-0.95,0.08,+0.08,1.92,1.24,0.07,0.07,0.01,0.07,0.07,0.12,0.08,4,0
Newcastle United,Federico Fernandez,D,22,1710,2,2,1,0.53,0.16,1.53,-0.47,1.53,-0.47,0.48,-0.52,1.99,1.49,0.08,0.08,0.03,0.11,0.11,0.10,0.08,4,0
Newcastle United,Ciaran Clark,D,14,1192,2,2,0,0.45,0.08,0.79,-1.21,0.79,-1.21,0.05,+0.05,2.11,2.07,0.06,0.06,0.00,0.06,0.06,0.16,0.16,3,0
Newcastle United,Florian Lejeune,D,6,442,2,2,0,0.81,0.20,0.39,-1.61,0.39,-1.61,0.05,+0.05,0.27,0.21,0.08,0.08,0.01,0.09,0.09,0.05,0.04,0,0
Newcastle United,Jetro Willems,D M,19,1501,2,2,2,0.84,0.96,0.49,-1.51,0.49,-1.51,1.08,-0.92,3.27,1.97,0.03,0.03,0.06,0.09,0.09,0.20,0.12,0,0
Newcastle United,Miguel Almiron,F M,27,2307,2,2,1,1.56,0.70,4.96,+2.96,4.96,+2.96,0.86,-0.14,8.06,2.64,0.19,0.19,0.03,0.23,0.23,0.31,0.10,5,0
Newcastle United,Matthew Longstaff,M,7,541,2,2,0,0.50,0.50,0.61,-1.39,0.61,-1.39,0.19,+0.19,1.04,0.28,0.10,0.10,0.03,0.13,0.13,0.17,0.05,1,0
Newcastle United,Joelinton,F M,28,2238,1,1,2,1.65,0.92,4.09,+3.09,4.09,+3.09,2.90,+0.90,8.35,2.72,0.16,0.16,0.12,0.28,0.28,0.34,0.11,5,0
Newcastle United,Allan Saint-Maximin,M,17,1191,1,1,1,2.27,1.59,1.93,+0.93,1.93,+0.93,2.01,+1.01,4.34,1.42,0.15,0.15,0.15,0.30,0.30,0.33,0.11,0,0
Newcastle United,DeAndre Yedlin,D M,12,771,1,1,0,0.12,0.58,0.75,-0.25,0.75,-0.25,0.23,+0.23,2.16,1.25,0.09,0.09,0.03,0.12,0.12,0.25,0.15,3,0
Newcastle United,Jamaal Lascelles,D,18,1544,1,1,0,0.41,0.06,0.31,-0.69,0.31,-0.69,0.03,+0.03,1.46,1.33,0.02,0.02,0.00,0.02,0.02,0.09,0.08,2,0
Newcastle United,Isaac Hayden,D M,23,1890,1,1,1,0.76,0.62,0.75,-0.25,0.75,-0.25,2.54,+1.54,4.56,2.26,0.04,0.04,0.12,0.16,0.16,0.22,0.11,4,1
Newcastle United,Yoshinori Muto,M,7,189,0,0,0,0.48,0.48,0.08,+0.08,0.08,+0.08,0.01,+0.01,0.21,0.11,0.04,0.04,0.01,0.05,0.05,0.10,0.05,0,0
Newcastle United,Matt Ritchie,D M,9,651,0,0,0,1.80,2.07,0.47,+0.47,0.47,+0.47,0.60,+0.60,1.22,0.58,0.07,0.07,0.08,0.15,0.15,0.17,0.08,2,0
Newcastle United,Andy Carroll,F,13,489,0,0,3,2.02,1.66,0.74,+0.74,0.74,+0.74,0.77,-2.23,1.49,0.54,0.14,0.14,0.14,0.28,0.28,0.27,0.10,1,0
Newcastle United,Danny Rose,D,4,261,0,0,0,0.00,0.34,0.00,0,0.00,0,0.03,+0.03,0.64,0.64,0.00,0.00,0.01,0.01,0.01,0.22,0.22,1,0
Newcastle United,Ki Sung-yueng,M,3,137,0,0,0,0.00,1.31,0.00,0,0.00,0,0.06,+0.06,0.04,0.00,0.00,0.00,0.04,0.04,0.04,0.03,0.00,0,0
Newcastle United,Dwight Gayle,F,11,279,0,0,1,1.94,0.97,1.27,+1.27,1.27,+1.27,0.13,-0.87,1.92,1.00,0.41,0.41,0.04,0.45,0.45,0.62,0.32,1,0
Newcastle United,Paul Dummett,D M,16,1229,0,0,0,0.15,0.29,0.02,+0.02,0.02,+0.02,0.20,+0.20,1.70,1.57,0.00,0.00,0.01,0.02,0.02,0.12,0.12,2,0
Newcastle United,Nabil Bentaleb,M,3,270,0,0,0,0.33,1.67,0.02,+0.02,0.02,+0.02,0.11,+0.11,0.70,0.59,0.01,0.01,0.04,0.05,0.05,0.23,0.20,2,0
Newcastle United,Emil Krafth,D M,11,570,0,0,0,0.47,0.00,0.34,+0.34,0.34,+0.34,0.00,0,0.51,0.17,0.05,0.05,0.00,0.05,0.05,0.08,0.03,0,0
Newcastle United,Javier Manquillo,D M,12,886,0,0,1,0.10,0.30,0.04,+0.04,0.04,+0.04,0.17,-0.83,1.32,1.20,0.00,0.00,0.02,0.02,0.02,0.13,0.12,3,0
Newcastle United,Christian Atsu,M,18,729,0,0,3,0.62,1.60,0.25,+0.25,0.25,+0.25,0.71,-2.29,1.53,0.71,0.03,0.03,0.09,0.12,0.12,0.19,0.09,2,0
Newcastle United,Valentino Lazaro,D,3,199,0,0,0,0.00,1.36,0.00,0,0.00,0,0.06,+0.06,0.47,0.47,0.00,0.00,0.03,0.03,0.03,0.21,0.21,0,1
Newcastle United,Martin Dubravka,GK,28,2520,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,1.59,1.59,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0,0
Newcastle United,Sean Longstaff,M,20,1277,0,0,1,1.48,1.06,0.64,+0.64,0.64,+0.64,0.94,-0.06,1.91,1.34,0.04,0.04,0.07,0.11,0.11,0.13,0.09,2,1
Brighton,Neal Maupay,F,27,2031,8,7,2,3.50,0.71,11.14,+3.14,10.38,+3.38,1.63,-0.37,10.55,2.41,0.49,0.46,0.07,0.57,0.53,0.47,0.11,3,0
Brighton,Leandro Trossard,F M,22,1363,3,3,3,1.65,2.11,2.91,-0.09,2.91,-0.09,3.62,+0.62,8.93,4.23,0.19,0.19,0.24,0.43,0.43,0.59,0.28,0,0
Brighton,Adam Webster,D,22,1925,3,3,1,0.65,0.47,1.45,-1.55,1.45,-1.55,1.09,+0.09,5.38,5.14,0.07,0.07,0.05,0.12,0.12,0.25,0.24,3,0
Brighton,Pascal Gro,F M,23,1492,2,2,4,1.63,3.14,1.42,-0.58,1.42,-0.58,5.68,+1.68,7.72,5.58,0.09,0.09,0.34,0.43,0.43,0.47,0.34,2,0
Brighton,Aaron Mooy,F M,21,1576,2,2,1,1.71,1.77,2.43,+0.43,2.43,+0.43,2.74,+1.74,7.36,3.73,0.14,0.14,0.16,0.30,0.30,0.42,0.21,0,1
Brighton,Lewis Dunk,D,26,2340,2,2,3,1.00,0.46,3.29,+1.29,3.29,+1.29,1.10,-1.90,7.67,7.53,0.13,0.13,0.04,0.17,0.17,0.30,0.29,8,0
Brighton,Alireza Jahanbakhsh,F M,7,276,2,2,0,3.91,1.30,0.58,-1.42,0.58,-1.42,0.99,+0.99,1.58,0.73,0.19,0.19,0.32,0.51,0.51,0.51,0.24,0,0
Brighton,Aaron Connolly,F,17,848,2,2,0,2.65,0.42,3.60,+1.60,3.60,+1.60,0.22,+0.22,3.05,0.19,0.38,0.38,0.02,0.41,0.41,0.32,0.02,0,0
Brighton,Glenn Murray,F,19,683,1,1,0,2.11,0.26,2.56,+1.56,2.56,+1.56,0.80,+0.80,3.16,0.69,0.34,0.34,0.11,0.44,0.44,0.42,0.09,0,0
Brighton,Florin Andone,F,3,69,1,1,0,1.30,1.30,0.36,-0.64,0.36,-0.64,0.06,+0.06,0.36,0.00,0.48,0.48,0.08,0.55,0.55,0.48,0.00,0,1
Brighton,Shane Duffy,D,15,1067,1,1,0,0.42,0.17,1.18,+0.18,1.18,+0.18,0.13,+0.13,2.05,1.92,0.10,0.10,0.01,0.11,0.11,0.17,0.16,1,0
Brighton,Davy Propper,M,25,2250,1,1,2,1.00,1.04,1.73,+0.73,1.73,+0.73,2.46,+0.46,10.71,7.61,0.07,0.07,0.10,0.17,0.17,0.43,0.30,4,0
Brighton,Martin Montoya,D M,22,1638,0,0,1,0.44,1.15,1.43,+1.43,1.43,+1.43,1.94,+0.94,6.90,4.21,0.08,0.08,0.11,0.19,0.19,0.38,0.23,4,0
Brighton,Mat Ryan,GK,28,2520,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,4.07,4.07,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0,0
Brighton,Ezequiel Schelotto,D M,7,286,0,0,0,0.94,0.00,0.24,+0.24,0.24,+0.24,0.00,0,0.45,0.21,0.07,0.07,0.00,0.07,0.07,0.14,0.07,1,0
Brighton,Bernardo,D M,10,552,0,0,0,0.98,0.49,0.23,+0.23,0.23,+0.23,0.90,+0.90,1.71,1.00,0.04,0.04,0.15,0.19,0.19,0.28,0.16,1,0
Brighton,Yves Bissouma,M,12,576,0,0,0,1.41,0.31,0.22,+0.22,0.22,+0.22,0.05,+0.05,2.02,1.78,0.03,0.03,0.01,0.04,0.04,0.32,0.28,2,0
Brighton,Solly March,F M,12,800,0,0,1,2.02,1.13,1.23,+1.23,1.23,+1.23,1.01,+0.01,3.94,2.08,0.14,0.14,0.11,0.25,0.25,0.44,0.23,2,0
Brighton,Dale Stephens,M,23,1948,0,0,1,0.69,0.65,0.37,+0.37,0.37,+0.37,0.63,-0.37,6.07,5.53,0.02,0.02,0.03,0.05,0.05,0.28,0.26,6,0
Brighton,Gaetan Bong,S,4,53,0,0,0,0.00,3.40,0.00,0,0.00,0,0.12,+0.12,0.16,0.04,0.00,0.00,0.20,0.20,0.20,0.27,0.06,0,0
Brighton,Jurgen Locadia,F,2,84,0,0,0,2.14,0.00,0.40,+0.40,0.40,+0.40,0.00,0,0.10,0.04,0.43,0.43,0.00,0.43,0.43,0.11,0.05,0,0
Brighton,Dan Burn,D M,24,2059,0,0,0,0.44,0.79,1.14,+1.14,1.14,+1.14,1.56,+1.56,6.60,5.51,0.05,0.05,0.07,0.12,0.12,0.29,0.24,3,0
Brighton,Steven Alzate,D M,19,1175,0,0,0,1.00,1.07,1.06,+1.06,1.06,+1.06,0.81,+0.81,3.53,1.92,0.08,0.08,0.06,0.14,0.14,0.27,0.15,1,0
West Ham,Sebastien Haller,F,26,2057,7,7,1,2.28,0.92,7.79,+0.79,7.79,+0.79,1.78,+0.78,9.70,2.38,0.34,0.34,0.08,0.42,0.42,0.42,0.10,1,0
West Ham,Robert Snodgrass,F M,23,1521,5,5,5,1.24,1.95,2.39,-2.61,2.39,-2.61,3.67,-1.33,6.25,3.26,0.14,0.14,0.22,0.36,0.36,0.37,0.19,4,0
West Ham,Mark Noble,M,25,2083,4,1,1,0.73,0.73,2.77,-1.23,0.49,-0.51,1.16,+0.16,6.74,5.85,0.12,0.02,0.05,0.17,0.07,0.29,0.25,4,0
West Ham,Aaron Cresswell,D,22,1942,3,3,0,0.65,0.74,0.87,-2.13,0.87,-2.13,1.52,+1.52,4.15,2.86,0.04,0.04,0.07,0.11,0.11,0.19,0.13,7,0
West Ham,Issa Diop,D,22,1867,3,3,0,0.48,0.05,1.59,-1.41,1.59,-1.41,0.41,+0.41,1.54,1.48,0.08,0.08,0.02,0.10,0.10,0.07,0.07,8,0
West Ham,Andriy Yarmolenko,M,15,835,3,3,1,2.16,1.62,1.93,-1.07,1.93,-1.07,3.33,+2.33,5.66,1.38,0.21,0.21,0.36,0.57,0.57,0.61,0.15,2,0
